Source,Target,Points,source_longitude,source_latitude,target_longitude,target_latitude,shortest_trains,path_nodes,path_edges,equal_shortest_paths,straight_line_km,points_per_train,max_detour_trains,has_cut_edge,mean_edge_length,intermediate_cities,tunnel_fraction,ferry_fraction,high_value_edge_overlap
Warzawa,Smolensk,6,21.0122,52.2297,32.0434,54.7867,6,Warzawa -> Wilno -> Smolensk,Warzawa--Wilno | Smolensk--Wilno,1,781.8836180370852,1.0,1.0,False,3.0,1,0.0,0.0,2.5
Zurich,Brindisi,6,8.5417,47.3769,17.9253,40.6368,6,Zurich -> Venezia -> Roma -> Brindisi,Venezia--Zurich | Roma--Venezia | Brindisi--Roma,1,1059.1687888810757,1.0,5.0,False,2.0,2,0.3333333333333333,0.0,0.6666666666666666
Zagrab,Brindisi,6,15.9819,45.815,17.9253,40.6368,6,Zagrab -> Venezia -> Roma -> Brindisi,Venezia--Zagrab | Roma--Venezia | Brindisi--Roma,1,596.8791165672592,1.0,5.0,False,2.0,2,0.0,0.0,1.0
Kyiv,Petrograd,6,30.5238,50.4501,30.3351,59.9343,6,Kyiv -> Wilno -> Petrograd,Kyiv--Wilno | Petrograd--Wilno,1,1054.6618145655707,1.0,3.0,False,3.0,1,0.0,0.0,1.0
Zurich,Budapest,6,8.5417,47.3769,19.0402,47.4979,6,Zurich -> Venezia -> Zagrab -> Budapest,Venezia--Zurich | Venezia--Zagrab | Budapest--Zagrab,2,789.1243585931169,1.0,0.0,False,2.0,2,0.3333333333333333,0.0,0.3333333333333333
Palermo,Moskva,20,13.3613,38.1157,37.6176,55.7558,20,Palermo -> Athina -> Sofia -> Bucuresti -> Kyiv -> Smolensk -> Moskva,Athina--Palermo | Athina--Sofia | Bucuresti--Sofia | Bucuresti--Kyiv | Kyiv--Smolensk | Moskva--Smolensk,1,2663.225524700478,1.0,3.0,False,3.3333333333333335,5,0.16666666666666666,0.16666666666666666,0.8333333333333334
Brest,Petrograd,20,-4.4861,48.3904,30.3351,59.9343,19,Brest -> Paris -> Frankfurt -> Berlin -> Danzic -> Riga -> Petrograd,Brest--Paris | Frankfurt--Paris | Berlin--Frankfurt | Berlin--Danzic | Danzic--Riga | Petrograd--Riga,3,2562.4426594234674,1.0526315789473684,1.0,False,3.1666666666666665,5,0.0,0.0,1.0
Lisboa,Danzic,20,-9.1393,38.7223,18.6466,54.352,19,Lisboa -> Madrid -> Pamplona -> Paris -> Frankfurt -> Berlin -> Danzic,Lisboa--Madrid | Madrid--Pamplona | Pamplona--Paris | Frankfurt--Paris | Berlin--Frankfurt | Berlin--Danzic,1,2714.5288122178345,1.0526315789473684,3.0,False,3.1666666666666665,5,0.16666666666666666,0.0,1.3333333333333333
Edinburgh,Athina,21,-3.1883,55.9533,23.7275,37.9838,20,Edinburgh -> London -> Amsterdam -> Frankfurt -> Munchen -> Venezia -> Roma -> Brindisi -> Athina,Edinburgh--London | Amsterdam--London | Amsterdam--Frankfurt | Frankfurt--Munchen | Munchen--Venezia | Roma--Venezia | Brindisi--Roma | Athina--Brindisi,2,2823.1187997079146,1.05,1.0,True,2.5,7,0.125,0.25,0.5
Cadiz,Stockholm,21,-6.2921,36.5298,18.0686,59.3293,21,Cadiz -> Madrid -> Pamplona -> Paris -> Frankfurt -> Essen -> Khobenhaven -> Stockholm,Cadiz--Madrid | Madrid--Pamplona | Pamplona--Paris | Frankfurt--Paris | Essen--Frankfurt | Essen--Khobenhaven | Khobenhaven--Stockholm,1,3080.3885391179697,1.0,13.0,False,3.0,6,0.14285714285714285,0.14285714285714285,1.0
Khobenhaven,Erzurum,21,12.5683,55.6761,41.267,39.9334,21,Khobenhaven -> Essen -> Berlin -> Wien -> Budapest -> Bucuresti -> Sevastopol -> Erzurum,Essen--Khobenhaven | Berlin--Essen | Berlin--Wien | Budapest--Wien | Bucuresti--Budapest | Bucuresti--Sevastopol | Erzurum--Sevastopol,2,2733.2520021971623,1.0,5.0,False,3.0,6,0.14285714285714285,0.2857142857142857,0.7142857142857143
